,title,brand,model,price,rating,review_num,operating_system,battery_life,screen_size,dimensions,Hard_Drive_Capacity,Processor Type,Processor Speed,RAM Memory
0,"HP 14"" Laptop, Intel Core i3-1005G1, 4GB SDRAM, 128GB SSD, Pale Gold, 14-DQ1038wm",HP,14-dq1038wm,279.00,4.1,73,Windows 10 Home in S mode,,"14""",,128 GB,Intel Core i3-1005G1,1.2 GHz,4 GB
1,"SAMSUNG 11.6"" Chromebook 3, 16GB eMMC, 4GB RAM, Metallic Black - XE500C13-K04US",Samsung,XE500C13-K04US,159.00,4.2,421,Chrome OS,11 hours,"11.6""",,16 GB,Intel Celeron,1.6 GHz,4 GB
2,"Omen by HP Gaming Laptop 15.6"", Intel Core i7-9750H, NVIDIA GTX 1660Ti 6GB, 16GB RAM, 256GB SSD, Omen Headset and Mouse Included ($100 Value), 15-dc1088wm",HP,15-dc1088wm,1049.99,4.7,35,Windows 10,6.25 h,"15.6""",10.35 x 14.17 x 1.02 Inches,256 GB,Intel Core i7-9750H,2.6 GHz,16 GB
3,"ASUS ROG STRIX 15.6"" Laptop, Intel Core i5-9300H, NVIDIA GeForce GTX 1660Ti GDDR6 6GB, 8GB RAM, 512GB PCIE SSD, Black, GL531GU-WB53",ASUS,GL531GU-WB53,949.00,4.5,43,"Windows 10 (64bit), Windows 10",,"15.6""",,512 GB,Intel Core i5,2.4 GHz,8 GB
4,"Acer Nitro 5 15"" Gaming Laptop, AMD Ryzen 5 2500U Processor, AMD Radeon RX 560X Graphics, 8GB RAM, 1TB Hard Drive, AN515-42-R5ED",Acer,AN515-42-R5ED,479.00,5,2,Windows 10,,"15.6""",,1 TB,AMD Ryzen 5,2 GHz,8 GB
5,"Lenovo Ideapad 330s 15.6"" Laptop, Windows 10, AMD Ryzen 5 2500U Quad-Core Processor, 8GB Memory, 256GB Storage, Platinum Grey - 81FB00HKUS",Lenovo,81FB00HKUS,359.00,4.5,3002,Windows 10,7 h,"15.6""",,256 GB,AMD Ryzen 5,2 GHz,8 GB
6,"EVOO 10.1"" Ultra Thin Laptop, Quad Core Processor, 2GB Memory, 32GB Storage, Mini HDMI, Front Camera, Windows 10 Home, Blue",EVOO,VIPRB-EV-C-101-1-BL,129.00,2.7,114,Windows 10,,"10.1""",11.20 x 8.00 x 3.00 Inches,32 GB,Quad Core Processor,,2 GB
7,"Hp 14 Laptop, Intel Core i5-1035G1, 8 GB SDRAM, 256GB SSD+16GB Optane, 14-dq1040wm, Pale Gold",HP,14-dq1040wm,389.00,4.3,78,Windows 10,,"14""",,256 GB,"1.0 GHz base frequency, up to 3.6 GHz with Intel® Turbo Boost Technology",1 GHz,8 GB
8,"Acer CB3-532-C47C 15.6"" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage",Acer,CB3-532-C47C,169.00,3.9,613,Chrome OS,12.00 h,"15.60""",15.08 x 10.08 x 0.95 Inches,16 GB,Intel Celeron,1.6 GHz,2 GB
9,"ASUS VivoBook 15.6"" FHD Display, AMD Ryzen 3 3200U, 4GB DDR4, 128GB SSD, Windows 10 Home in S mode, Slate Gray, F512DA-WH31",ASUS,F512DA-WH31,279.00,4.2,115,Windows 10 HOME S (64bit),8 h,"15.6""",,128 GB,AMD R3-3200U,2.6 GHz,4 GB
10,"Acer Nitro 5 15"" Gaming Laptop, AMD Ryzen 5 2500U Processor, AMD Radeon RX 560X Graphics, 8GB RAM, 1TB Hard Drive, AN515-42-R5ED",Acer,AN515-42-R5ED,479.00,5,2,Windows 10,,"15.6""",,1 TB,AMD Ryzen 5,2 GHz,8 GB
