index,title,price,category,color,review rating,review number,model,Screen Size,Touch Screen,Storage Type,Total Storage Capacity,Hard Drive Capacity,System Memory (RAM),Processor Speed (Base),Processor Model,Operating System,Battery Life,Brand,Product Height,Product Width,Product Depth,Product Weight
0,"Lenovo - 100e 11.6"" Chromebook - MediaTek MT8173C - 4GB Memory - 32GB eMMC Flash Memory - Black",149.00,laptop,Black,4.5,559,81QB0000US,11.6 inches,No,eMMC,32 gigabytes,,4 gigabytes,2.1 gigahertz,MediaTek,Chrome OS,,Lenovo,0.8 inches,11.4 inches,8.01 inches,2.68 pounds
1,"Dell - Inspiron 15.6"" Touch-Screen Laptop - AMD Ryzen 3 - 8GB Memory - 128GB SSD - Black",369.99,laptop,Black,4.3,43,I3585-A831BLK-PUS,15.6 inches,Yes,SSD,128 gigabytes,,8 gigabytes,2.5 gigahertz,AMD 2nd Generation Ryzen 3,Windows 10 Home in S mode,,Dell,0.8 inches,15 inches,10.2 inches,4.41 pounds
2,"Lenovo - 100e 11.6"" Chromebook - MediaTek MT8173C - 4GB Memory - 32GB eMMC Flash Memory - Black",149.00,laptop,Black,4.5,559,81QB0000US,11.6 inches,No,eMMC,32 gigabytes,,4 gigabytes,2.1 gigahertz,MediaTek,Chrome OS,,Lenovo,0.8 inches,11.4 inches,8.01 inches,2.68 pounds
3,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) - Space Gray",899.99,laptop,Space Gray,4.8,"3,093",MVFH2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
4,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) - Silver",899.99,laptop,Silver,4.8,"3,093",MVFK2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
5,"Apple - MacBook Air 13.3"" Laptop with Touch ID - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) - Gold",899.99,laptop,Gold,4.8,"3,093",MVFM2LL/A,13.3 inches,No,SSD,128 gigabytes,,8 gigabytes,1.6 gigahertz,Intel 8th Generation Core i5,Mac OS,12 hours,Apple,0.61 inches,12 inches,8.36 inches,2.75 pounds
6,"Lenovo - S145-15AST 15.6"" Laptop - AMD A6-Series - 4GB Memory - 1TB Hard Drive - Black",229.99,laptop,Black,4.2,304,81N3009BUS,15.6 inches,No,HDD,1000 gigabytes,1000 gigabytes,4 gigabytes,2.6 gigahertz,AMD A6,Windows 10 Home in S mode,5.5 hours,Lenovo,0.8 inches,14.3 inches,9.9 inches,4.08 pounds
7,"Acer - Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Obsidian Black",179.00,laptop,Obsidian Black,4.6,169,NX.GPZAA.001,11.6 inches,Yes,eMMC,32 gigabytes,,4 gigabytes,1.1 gigahertz,Intel Celeron,Chrome OS,10 hours,Acer,0.8 inches,11.7 inches,8.1 inches,3.09 pounds
8,"Acer - Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly Silver",279.99,laptop,Sparkly Silver,4.4,485,CP311-1HN-C2DV,11.6 inches,Yes,eMMC,32 gigabytes,,4 gigabytes,1.1 gigahertz,Intel Celeron,Chrome OS,10 hours,Acer,0.8 inches,11.7 inches,8.1 inches,2.76 pounds
9,"HP - 15.6"" Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 256GB SSD + 16GB Optane - Natural Silver, Ash Silver Keyboard",579.99,laptop,"Natural Silver, Ash Silver Keyboard",4.6,424,15-DY1023DX,15.6 inches,Yes,SSD,256 gigabytes,,12 gigabytes,1 gigahertz,Intel 10th Generation Core i5,Windows 10 Home in S mode,,HP,0.7 inches,14.1 inches,9.5 inches,3.86 pounds
10,"HP - 17.3"" Laptop - AMD Ryzen 7 - 16GB Memory - AMD Radeon RX Vega 10 - 1TB HDD - Jet Black",529.99,laptop,Jet Black,4.4,46,17-CA1031DX,17.3 inches,No,HDD,1000 gigabytes,1000 gigabytes,16 gigabytes,2.3 gigahertz,AMD 2nd Generation Ryzen 7,Windows 10 Home,7.45 hours,HP,1 inches,16.3 inches,10.7 inches,5.4 pounds
